smiles,name
O=N(=O)OCC(CON(=O)=O)CON(=O)=O,PETN-CH (liquid)
CC(CON(=O)=O)(CON(=O)=O)CON(=O)=O,PETN-CMe
C(C(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-],PETN
O=N(=O)OCC(CON(=O)=O)CON(=O)=O,PETN-CH (solid)
NC(CON(=O)=O)(CON(=O)=O)CON(=O)=O,PETN-CNH2
O=N(=O)c3nc2[nH]n1nc(N(=O)=O)nc1[nH]n2n3,DNBTT
Nc2nn1nn(=O)nc1nn2=O,AmTetTzDO
Nc1c(N(=O)=O)nnc2c(N(=O)=O)c(N(=O)=O)nn12,PTX
Nn1nc(N(=O)=O)nc1c2nc(N(=O)=O)nn2N,DADNBT
n6nc1nonc1c2nonc2c3nonc3nnc4nonc4c5nonc5c7nonc67,DATrF
Nc1c(N(=O)=O)nnc2nc(N(=O)=O)nn12,DPX-26
O=N(=O)OCC(COc1nnc(OCC(CON(=O)=O)(CON(=O)=O)CON(=O)=O)nn1)(CON(=O)=O)CON(=O)=O,P2Tz
O=N(=O)c1nonc1c3noc(c2nonc2N(=O)=O)no3,BNDD
O=N(=O)N(Cc1nnn[nH]1)Cc2nnn[nH]2,BTMN-V3
C(C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],ETN
O=N(=O)OC[C@H](ON(=O)=O)[C@H](CON(=O)=O)ON(=O)=O,L-ETN
O=N(=O)OC[C@@H](ON(=O)=O)[C@@H](CON(=O)=O)ON(=O)=O,D-ETN
O=N(=O)OC[C@@H](ON(=O)=O)[C@@H](ON(=O)=O)[C@H](ON(=O)=O)[C@@H](CON(=O)=O)ON(=O)=O,MHN
O=N(=O)OC[C@@H](ON(=O)=O)[C@@H](ON(=O)=O)[C@H](ON(=O)=O)[C@H](CON(=O)=O)ON(=O)=O,SHN
N#N=NCC(N=N#N)C(CN=N#N)N=N#N,ETA
O=N(=O)NCC(NN(=O)=O)C(CNN(=O)=O)NN(=O)=O,ETNA
O=N(=O)NCC(ON(=O)=O)C(CNN(=O)=O)ON(=O)=O,EDNDN
N#N=NCC(ON(=O)=O)C(CN=N#N)ON(=O)=O,EDADN
O=N(=O)c1cc(N(=O)=O)c(O)c(N(=O)=O)c1,TNB-OH1
O=N(=O)c1c(O)c(N(=O)=O)c(O)c(N(=O)=O)c1O,TNB-OH3
O=N(=O)N1CN(N(=O)=O)CN(N(=O)=O)C1,RDX 455-7
O=N(=O)N1CN(N(=O)=O)CN(N(=O)=O)CN(N(=O)=O)C1,HMX 009
Nc1nonc1/N=N(=O)/c2nonc2N,DAAFox RDD-16F-055-051
O=N(=O)c1c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c1N(=O)=O,HNB
O=N(=O)c1cc(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c1N(=O)=O,PNB
O=N(=O)c1cc(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c1,TetNB
C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],TNB
C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],Picric acid
C1(=C(C(=C(C(=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N,PNA
C1=C(C(=C(C(=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N)[N+](=O)[O-],TetNA
C1=C(C=C(C(=C1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-],TNA
C1=C(C(=C(C(=C1[N+](=O)[O-])N)[N+](=O)[O-])N)[N+](=O)[O-],DATB
c1(c(c(c(c(c1[N+](=O)[O-])N)[N+](=O)[O-])N)[N+](=O)[O-])N,TATB
O=N(=O)c2cc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c(N(=O)=O)c2,HNBP
Nc2c(N(=O)=O)cc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)c(N)c1N(=O)=O)c2N(=O)=O,DIPAM
Nc2c(N(=O)=O)c(N(=O)=O)c(c1c(N(=O)=O)c(N(=O)=O)c(N)c(N(=O)=O)c1N(=O)=O)c(N(=O)=O)c2N(=O)=O,CL-12
O=N(=O)c2cc(N(=O)=O)c1non(=O)c1c2,DNBF
C1=C(C2=NO[N+](=C2C(=C1[N+](=O)[O-])N)[O-])[N+](=O)[O-],ADNBF
C1(=C(C2=NO[N+](=C2C(=C1[N+](=O)[O-])N)[O-])[N+](=O)[O-])N,CL-14
Nc1c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c2non(=O)c12,CL-17
C12=NO[N+](=C1C3=NO[N+](=C3C4=NO[N+](=C24)[O-])[O-])[O-],BTF
Cc1c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c1N(=O)=O,PNT
CC1=CC(=C(C(=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],"2,3,4,5-TetNT"
Cc1c(N(=O)=O)cc(N(=O)=O)c(N(=O)=O)c1N(=O)=O,"2,3,4,6-TetNT"
Cc1c(N(=O)=O)c(N(=O)=O)cc(N(=O)=O)c1N(=O)=O,"2,3,5,6-TetNT"
CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],TNT
Cc1ccc(N(=O)=O)c(N(=O)=O)c1N(=O)=O,"2,3,4-TNT"
Cc1cc(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c1,"3,4,5-TNT"
CC1=C(C(=C(C(=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N,TetN-o-Tol
Cc1c(N(=O)=O)c(N)c(N(=O)=O)c(N(=O)=O)c1N(=O)=O,TetN-m-Tol
Cc1c(N(=O)=O)c(N(=O)=O)c(N)c(N(=O)=O)c1N(=O)=O,TetN-p-Tol
C1=C(C=C(C(=C1[N+](=O)[O-])CC2=C(C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],HNDPM
C1=C(C=C(C(=C1[N+](=O)[O-])N=[N+]=[N-])[N+](=O)[O-])[N+](=O)[O-],Picryl azide
N#N=Nc1c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c1N(=O)=O,CL-16
N#N=c1cc(N(=O)=O)cc(N(=O)=O)c1=O,DDNP
Cc1c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c(=O)c1=N#N,Me-NO2-DDNP
CN(C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],Tetryl
Cc1c(N(C)N(=O)=O)c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c1N(=O)=O,(MeNO2N)−22
Cc1c(N(=O)=O)c(N(C)N(=O)=O)c(N(=O)=O)c(N(=O)=O)c1N(=O)=O,(MeNO2N)−23
Nc1c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c1N(=O)=O,PNA
O=N(=O)c1cc(N(=O)=O)cc(N(=O)=O)c1,TNB
C1=C(C(=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])O)[N+](=O)[O-],Styphnic acid
O=N(=O)c1c(O)c(N(=O)=O)c(O)c(N(=O)=O)c1O,"2,4,6-Trinitrophloro-glucinol"
Nc1c(N(=O)=O)cc(N(=O)=O)c(N(=O)=O)c1N(=O)=O,TetNA
C1=CC(=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])O,"2,4-Dinitroresorcinol"
C1=C(C(=CC(=C1[N+](=O)[O-])O)O)[N+](=O)[O-],"4,6-Dinitroresorcinol"
C1=C(C=C(C(=C1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-],TNA
C1=C(C(=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])N)[N+](=O)[O-],"2,4,6-Trinitro-3-aminophenol"
Nc1c(N(=O)=O)c(N)c(N(=O)=O)c(O)c1N(=O)=O,"1- Hydroxyl-3,5-diamino-2,4,6-trinitrobenzene"
C1=C(C=C(C(=C1[N+](=O)[O-])C#N)[N+](=O)[O-])[N+](=O)[O-],"2,4,6-Trinitrobenzonitrile"
C1=C(C=C(C(=C1[N+](=O)[O-])C(=O)O)[N+](=O)[O-])[N+](=O)[O-],"2,4,6-Trinitrobenzoic acid"
COC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],"2,4,6-Trinitroanisole"
COc1c(N(=O)=O)cc(N(=O)=O)c(N)c1N(=O)=O,"3-Methoxy-2,4,6-trinitroaniline"
COc1c(N(=O)=O)cc(N(=O)=O)c(OC)c1N(=O)=O,"1,3-Dimethoxy-2,4,6-trinitrobenzene"
C1=C(C=C(C(=C1[N+](=O)[O-])C(=O)OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],"2’,2’,2’-Trinitroethyl-2,4,6-trinitrobenzoate"
O=C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)c1cc(N(=O)=O)cc(N(=O)=O)c1,"2’,2’,2’-Trinitroethyl-3,5-dinitrobenzoate"
O=C(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)c1cc(N(=O)=O)cc(N(=O)=O)c1O,"2’,2’,2’-Trinitroethyl-3,5-dinitrosalicylate"
O=N(=O)c1ccc(N(=O)=O)c2c(N(=O)=O)ccc(N(=O)=O)c12,TNN
CC(COC(=O)c1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)(N(=O)=O)N(=O)=O,"2’,2’-Dinitropropyl-2,4,6- trinitrobenzoate"
C1=C(C=C(C(=C1[N+](=O)[O-])C2=C(C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],HNBP 2
O=N(=O)c2cc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)c(O)c1N(=O)=O)c(N(=O)=O)c2,"3-Hydroxy-2,2’,4,4’,6,6’-hexanitrobiphenyl"
O=N(=O)c2cc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)c(O)c1N(=O)=O)c(N(=O)=O)c2O,Dipicric acid
O=N(=O)c2cc(N(=O)=O)c(Nc1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c(N(=O)=O)c2,HND
Nc2c(N(=O)=O)cc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)c(N)c1N(=O)=O)c2N(=O)=O,DIPAM
O=C(c1ccc(N(=O)=O)cc1N(=O)=O)c2c(N(=O)=O)cc(N(=O)=O)cc2N(=O)=O,"2,2’,4,4’,6-Pentanitro-benzophenone"
C1=C(C=C(C(=C1[N+](=O)[O-])C2=C(C(=C(C=C2[N+](=O)[O-])[N+](=O)[O-])C3=C(C=C(C=C3[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],NONA
O=N(=O)c3cc(N(=O)=O)c(c2cc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)cc2N(=O)=O)c(N(=O)=O)c3,"2,2’,2’’,4,4’’,5’,6,6’’-Octanitro-p-terphenyl"
O=N(=O)c3cc(N(=O)=O)c(c2cc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c(N(=O)=O)c2)c(N(=O)=O)c3,"2,2’,2’’,4,4’’,6,6’,6’’-Octanitro-p-terphenyl"
O=N(=O)c4c(c1ccccc1)c(c2c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c2N(=O)=O)c(c3c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c3N(=O)=O)c(N(=O)=O)c4N(=O)=O,Dodeca
O=N(=O)c4cc(N(=O)=O)c(c3c(N(=O)=O)cc(N(=O)=O)c(/N=N/c2c(N(=O)=O)cc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c2N(=O)=O)c3N(=O)=O)c(N(=O)=O)c4,"Azo-bis-2,2’,4,4’,6,6’-hexanitrobiphenyl"
O=Cc1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O,TNBAL
C1=C(C=C(C(=C1[N+](=O)[O-])C=NO)[N+](=O)[O-])[N+](=O)[O-],"2,4,6-Trinitrobenzaldoxime"
C1=CC(=CC(=C1)[N+](=O)[O-])C([N+](=O)[O-])[N+](=O)[O-],1-Dinitromethyl-3-nitrobenzene
C1=C(C=C(C(=C1[N+](=O)[O-])CO)[N+](=O)[O-])[N+](=O)[O-],"2,4,6-Trinitrobenzylalcohol"
CC1=C(C(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O)[N+](=O)[O-],Cresylite
O=N(=O)c1cc(N(=O)=O)c(CC(N(=O)=O)(N(=O)=O)N(=O)=O)c(N(=O)=O)c1,"1-(2,2,2-Trinitroethyl)-2,4,6-trinitrobenzene"
C=CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],"2,4,6-Trinitrostyrene"
O=N(=O)c1ccc(CC(N(=O)=O)(N(=O)=O)N(=O)=O)c(N(=O)=O)c1,"1-(2,2,2-Trinitroethyl)-2,4-dinitrobenzene"
Cc1c(N(=O)=O)c(C)c(N(=O)=O)c(O)c1N(=O)=O,"3,5-Dimethyl-2,4,6-trinitrophenol"
CC1=C(C(=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])C)[N+](=O)[O-],"1-(3,3,3-Trinitropropyl)-2,4,6-trinitrobenzene"
O=N(=O)c1ccc(CCC(N(=O)=O)(N(=O)=O)N(=O)=O)c(N(=O)=O)c1,"1-(3,3,3-Trinitropropyl)-2,4-dinitrobenzene"
Cc2c(N(=O)=O)cc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c2N(=O)=O,"3-Methyl-2,2’,4,4’,6,6’-hexanitrobiphenyl"
Cc2c(N(=O)=O)cc(N(=O)=O)c(c1ccc(N(=O)=O)cc1N(=O)=O)c2N(=O)=O,"3-Methyl-2,2’,4,4’,6-pentanitrobiphenyl"
C1=C(C=C(C(=C1[N+](=O)[O-])C=CC2=C(C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],JD-X
C1=C(C=C(C(=C1[N+](=O)[O-])CCC2=C(C=C(C=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],"2,2’,4,4’,6,6’-Hexanitrobibenzyl"
CC1=C(C(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C2=C(C=C(C(=C2[N+](=O)[O-])C)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],"3,3’-Dimethyl-2,2’,4,4’,6,6’-hexanitrobiphenyl"
C1=C(C=C([N+](=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[N+](=O)[O-],"2,4,6-Trinitropyridine-1-oxide"
O=N(=O)c2cnc(/N=N/c1ncc(N(=O)=O)cc1N(=O)=O)c(N(=O)=O)c2,"3,3’,5,5’-Tetranitro-2,2’-azopyridine"
C1=C(C=C(C(=C1[N+](=O)[O-])N=NC2=C(C=C(C(=N2)N=NC3=C(C=C(C=C3[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],"2,6-Bis(picrylazo)-3,5-dinitropyridine"
C1=C(C=C(C(=C1[N+](=O)[O-])NC2=C(C=C(C(=N2)NC3=C(C=C(C=C3[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],PYX
O=N(=O)c3cc(N(=O)=O)c(Nc2cc(Nc1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c(N(=O)=O)nc2N(=O)=O)c(N(=O)=O)c3,"3,5-Bis(picrylamino)-2,6-dinitropyridine"
O=N(=O)c3cc(N(=O)=O)c(Nc2cccc(Nc1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)n2)c(N(=O)=O)c3,"2,6-Bis(picrylamino) pyridine"
C1(=C(N=C(N1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],Ex248
C1=C(NC(=N1)[N+](=O)[O-])[N+](=O)[O-],"2,4-DNI"
c1(c(nc([nH]1)c2[nH]c(c(n2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],"4,4’,5,5’-Tetranitro biimidazole"
C1=C(C=C(C(=C1[N+](=O)[O-])N2C(=CN=C2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],"2,4-Dinitro-1-picrylimidazole"
O=N(=O)c2cc(N(=O)=O)c(n1ccnc1N(=O)=O)c(N(=O)=O)c2,2-Nitro-1-picrylimidazole
O=N(=O)c2cc(N(=O)=O)c(n1cnc(N(=O)=O)c1)c(N(=O)=O)c2,4-Nitro-1-picrylimidazole
O=N(=O)c2cc(N(=O)=O)c(n1ccnc1)c(N(=O)=O)c2,1-Picrylimidazole
O=N(=O)c2cnn(c1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c2,4-Nitro-1-picrylpyrazole
O=N(=O)c2cc(N(=O)=O)c(Nc1n[nH]cc1N(=O)=O)c(N(=O)=O)c2,4-Nitro-3-picrylaminopyrazole
Cn2nc(N(=O)=O)c(c1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c2N(=O)=O,"3,5-Dinitro-1-methyl-4-picrylpyrazole"
Cn2nc(N(=O)=O)c(Nc1c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O)c2N(=O)=O,"3,5-Dinitro-1-methyl-4-picrylaminopyrazole"
