id,name,smiles,C_4,H_4,N_4,O_4,C_7,H_7,N_7,O_7,C_prime,N_prime,O_prime
232,Klapotke 73,CN(Cn1cc(N(=O)=O)nc1N(=O)=O)N(=O)=O,5,6,6,6,2,6,2,0,3,4,6
233,Klapotke 74,CN(Cn1cnc(N(=O)=O)c1N(=O)=O)N(=O)=O,5,6,6,6,2,6,1,0,3,5,6
234,Klapotke 75,CN(Cn1nc(N(=O)=O)cc1N(=O)=O)N(=O)=O,5,6,6,6,2,6,1,0,3,5,6
235,Klapotke 76,CN(Cn1ncc(N(=O)=O)c1n2cc(N(=O)=O)c(N(=O)=O)n2)N(=O)=O,8,7,9,8,2,7,1,0,6,8,8
236,Klapotke 78,CN(Cn1nc(N(=O)=O)c(N)c1N(=O)=O)N(=O)=O,5,7,7,6,2,7,1,0,3,6,6
237,Klapotke 79,O=C(OO)c1ccc(C(=O)OO)cc1,8,6,0,6,0,6,0,4,8,0,2
238,Klapotke 80,O=C(OO)c1ccc(N(=O)=O)cc1,7,5,1,5,0,5,0,2,7,1,3
239,Klapotke 81,O=C(OO)c1cc(N(=O)=O)cc(N(=O)=O)c1,7,4,2,7,0,4,0,2,7,2,5
240,Klapotke 82,O=C(OO)c1cc(C(=O)OO)cc(C(=O)OO)c1,9,6,0,9,0,6,0,6,9,0,3
241,Klapotke 83,O=C(NC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)NC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,7,6,8,17,4,6,2,2,3,6,15
242,Klapotke 85,O=C(NCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(COC(=O)NCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,9,10,10,20,7,10,2,2,2,8,18
243,Klapotke 86,O=C(OCC(COC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,9,8,8,22,7,8,0,4,2,8,18
244,Klapotke 87,CN(CNC(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O,5,8,6,10,4,8,2,1,1,4,9
245,Klapotke 89,CN(CN(C(=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)N(=O)=O)N(=O)=O,5,7,7,12,4,7,2,1,1,5,11
246,Klapotke 91,Nc1nc(N(=O)=O)nn1CN(Cn2nc(N(=O)=O)nc2N)N(=O)=O,6,8,12,6,2,8,5,0,4,7,6
247,Klapotke 92,O=N(=O)c2nc(N(=O)=O)n(CN(Cn1nc(N(=O)=O)nc1N(=O)=O)N(=O)=O)n2,6,4,12,10,2,4,3,0,4,9,10
248,Klapotke 93,O=N(=O)c2ncn(CN(Cn1cnc(N(=O)=O)c1N(=O)=O)N(=O)=O)c2N(=O)=O,8,6,10,10,2,6,1,0,6,9,10
249,Klapotke 94,O=N(=O)c2cn(CN(Cn1cc(N(=O)=O)nc1N(=O)=O)N(=O)=O)c(N(=O)=O)n2,8,6,10,10,2,6,1,0,6,9,10
250,Klapotke 95,Nc2c(N(=O)=O)nn(CN(Cn1nc(N(=O)=O)c(N)c1N(=O)=O)N(=O)=O)c2N(=O)=O,8,8,12,10,2,8,1,0,6,11,10
251,Klapotke 96,O=N(=O)c2cc(N(=O)=O)n(CN(Cn1nc(N(=O)=O)cc1N(=O)=O)N(=O)=O)n2,8,6,10,10,2,6,2,0,6,8,10
252,Klapotke 97,O=N(=O)c2cn(CN(Cn1cc(N(=O)=O)c(N(=O)=O)n1)N(=O)=O)nc2N(=O)=O,8,6,10,10,2,6,1,0,6,9,10
253,Klapotke 98,O=N(=O)C(c2nc(c1noc(C(N(=O)=O)(N(=O)=O)N(=O)=O)n1)no2)(N(=O)=O)N(=O)=O,6,0,10,14,2,0,0,2,4,10,12
254,Klapotke 101,O=C(NCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O,5,5,7,14,4,5,1,1,1,6,13
255,Klapotke 107,Cn2c(c1nc(N(=O)=O)c(N(=O)=O)n1C)nc(N(=O)=O)c2N(=O)=O,8,6,8,8,2,6,2,0,6,6,8
256,Klapotke 108,O=N(=O)C(c2n[nH]c(N=Nc1nc(C(N(=O)=O)N(=O)=O)n[nH]1)n2)N(=O)=O,6,4,12,8,2,4,0,0,4,12,8
257,Klapotke 109,N#N=N/C(N=N#N)=N\n1nnnc1N=N#N,2,0,14,0,0,0,1,0,2,13,0
258,Klapotke 110,O=N(=O)CC(CON(=O)=O)(CON(=O)=O)C(CON(=O)=O)(CON(=O)=O)CN(=O)=O,8,12,6,16,8,12,0,4,0,6,12
259,Klapotke 111,O=N(=O)OCN(CON(=O)=O)N(=O)=O,2,4,4,8,2,4,1,2,0,3,6
260,Klapotke 112,O=N(=O)OCCN(CCON(=O)=O)N(=O)=O,4,8,4,8,4,8,1,2,0,3,6
261,Kalpotke 113,O=N(=O)OCC(CON(=O)=O)N(C(CON(=O)=O)CON(=O)=O)N(=O)=O,6,10,6,14,6,10,1,4,0,5,10
262,Klapotke 114,O=N(=O)c2cc(N(=O)=O)c1nn(=O)nn(=O)c1c2,6,2,6,6,0,2,0,0,6,6,6
263,Klapotke 114,O=n1onc(/C=N/O)c1/C=N/O,4,4,4,4,0,4,0,3,4,4,1
264,Klapotke 115,CC(C)(C)CON(=O)=O,5,11,1,3,5,11,0,1,0,1,2
265,Klapotke 116,CC(C)(CON(=O)=O)CON(=O)=O,5,10,2,6,5,10,0,2,0,2,4
266,Klapotke 117,CC(CON(=O)=O)(CON(=O)=O)CON(=O)=O,5,9,3,9,5,9,0,3,0,3,6
267,Klapotke 118,O=N(=O)OCC1(CON(=O)=O)CCCC1,7,12,2,6,7,12,0,2,0,2,4
268,Klapotke 119,O=N(=O)OCC1(CON(=O)=O)CCCCC1,8,14,2,6,8,14,0,2,0,2,4
269,Klapotke 125,O=N(=O)Nc1nc(N(=O)=O)n[nH]1,2,2,6,4,0,2,1,0,2,5,4
270,Klapotke 126,Cn1nc(N(=O)=O)nc1NN(=O)=O,3,4,6,4,1,4,1,0,2,5,4
271,Klapotke 127,Nc1nnnn1O,1,3,5,1,0,3,1,1,1,4,0
272,Klapotke 128,On1nnnc1/N=N/c2nnnn2O,2,2,10,2,0,2,2,2,2,8,0
273,Klapotke 129,On1nnnc1NNc2nnnn2O,2,4,10,2,0,4,2,2,2,8,0
274,Klapotke 130,O=N(=O)c2n[nH]c(c1nc(N(=O)=O)n[nH]1)n2,4,2,8,4,0,2,0,0,4,8,4
275,Klapotke 131,O=N(=O)N=c2[nH]nc(c1n[nH]c(=NN(=O)=O)[nH]1)[nH]2,4,4,10,4,0,4,4,0,4,6,4
276,Klapotke 132,N#N=Nc2nc(c1n[nH]c(N=N#N)n1)n[nH]2,4,2,12,0,0,2,0,0,4,12,0
277,Klapotke 133,O=N(=O)C(=c2[nH]nc(c1n[nH]c(=C(N(=O)=O)N(=O)=O)[nH]1)[nH]2)N(=O)=O,6,4,10,8,2,4,2,0,4,8,8
278,Klapotke 134,N#N=Nc1nn(CC(=O)O)c(=NN(=O)=O)[nH]1,4,4,8,4,1,4,1,1,3,7,3
279,Klapotke 135,Nc2nc(c1nnn[nH]1)n[nH]2,3,4,8,0,0,4,1,0,3,7,0
280,Klapotke 136,O=N(=O)N=c2[nH]nc(c1nnn[nH]1)[nH]2,3,3,9,2,0,3,2,0,3,7,2
281,Klapotke 137,O=N(=O)c2n[nH]c(c1nnn[nH]1)n2,3,2,8,2,0,2,0,0,3,8,2
282,Klapotke 138,N#N=Nc2nc(c1nnn[nH]1)n[nH]2,3,2,10,0,0,2,0,0,3,10,0
283,Klapotke 139,N#N=NCN(CN=N#N)N(=O)=O,2,4,8,2,2,4,1,0,0,7,2
284,Klapotke 140,N#N=NCN(CN(CN(CN=N#N)N(=O)=O)N(=O)=O)N(=O)=O,4,8,12,6,4,8,3,0,0,9,6
285,Klapotke 141,CN(/N=N/N(C)c1nnnn1CCO)c2nnnn2CCO,8,16,12,2,6,16,3,2,2,9,0
286,Klapotke 142,CC(C)OC(=O)Cn1nnnc1N(C)/N=N/N(C)c2nnnn2CC(=O)OC(C)C,14,24,12,4,10,24,4,2,4,8,2
287,Klapotke 143,O=N(=O)c1nn[nH]n1,1,1,5,2,0,1,0,0,1,5,2
288,Klapotke 144,Cn1nnnc1N(=O)=O,2,3,5,2,1,3,0,0,1,5,2
289,Klapotke 145,Cn1nnc(N(=O)=O)n1,2,3,5,2,1,3,0,0,1,5,2
290,Klapotke 146,n2n[nH]c(Nc1nnn[nH]1)n2,2,3,9,0,0,3,2,0,2,7,0
291,Klapotke 147,Cn2nnc(Nc1nnn(C)n1)n2,4,7,9,0,2,7,1,0,2,8,0
292,Klapotke 148,CN(c1nnn(C)n1)c2nnn(C)n2,5,9,9,0,3,9,1,0,2,8,0
293,Synder 1,Nc5n(=O)nc(n4c1nonc1n(c2nn(=O)c(N)n(=O)n2)c3nonc34)nn5=O,8,4,16,6,2,4,4,2,6,12,4
294,Synder 2,Nc4n(=O)nc(n3c1nonc1[nH]c2nonc23)nn4=O,6,3,11,4,1,3,3,2,5,8,2
295,Synder 3,Nc9n(=O)nc(n8c1nonc1n(c6nnc(n5c2nonc2n(c3nn(=O)c(N)n(=O)n3)c4nonc45)nn6)c7nonc78)nn9=O,14,4,26,8,2,4,6,4,12,20,4
296,,Nc2nc(c1[nH]ncc1N(=O)=O)n[nH]2,5,5,7,2,0,5,2,0,5,5,2
297,,O=N(=O)c1cn[nH]c1c2n[nH]c(N(=O)=O)n2,5,3,7,4,0,3,0,0,5,7,4
298,,O=N(=O)N=c2nnc(c1[nH]ncc1N(=O)=O)n2,5,2,8,4,0,2,0,0,5,8,4
299,,O=C(c1nc(N(=O)=O)nn1C(N(=O)=O)(N(=O)=O)N(=O)=O)c2nc(N(=O)=O)nn2C(N(=O)=O)(N(=O)=O)N(=O)=O,7,0,14,17,2,0,2,0,5,12,17
300,,O=N(=O)C(N(=O)=O)n1nnc(C(N(=O)=O)(N(=O)=O)N(=O)=O)n1,3,1,9,10,2,1,0,0,1,9,10
301,,O=N(=O)C(c1nnn(C(N(=O)=O)N(=O)=O)n1)N(=O)=O,3,2,8,8,2,2,0,0,1,8,8
302,,Nc2nc(N)n1nc(NN(=O)=O)c(N(=O)=O)c1n2,5,5,9,4,1,5,4,0,4,5,4
303,,Nc2nn1c(N(=O)=O)nnc1nn2=O,3,2,8,3,0,2,2,0,3,6,3
304,,Nc2nn1c(N)nnc1nn2=O,3,4,8,1,0,4,3,1,3,5,0
305,,Nc2nn1c(N)nnc1nn2=O,3,4,8,1,0,4,3,1,3,5,0
306,AzTF,N(=N\c1nonc1c2nnn[nH]2)/c3nonc3c4nnn[nH]4,6,2,14,2,0,2,0,2,6,14,0
307,LLM-191,O=N(=O)c1nonc1c3noc(c2nonc2N(=O)=O)n3,6,0,8,7,0,0,0,3,6,8,4
308,LLM-200,O=N(=O)c1nonc1c4noc(c3nc(c2nonc2N(=O)=O)no3)n4,8,0,10,8,0,0,0,4,8,10,4
309,LLM-201,Nc2nc(c1nonc1N(=O)=O)no2,4,2,6,4,0,2,1,2,4,5,2
310,,N#N=N/C(=N\O)c2nc(c1noc(/C(=N/O)N=N#N)n1)no2,6,2,12,4,0,2,0,4,6,12,0
311,,On1nnnc1c4nc(c3noc(c2nnnn2O)n3)no4,6,2,12,4,0,2,0,4,6,12,0
312,,N#N=N/C(=N\O)c1noc(/C(=N\O)N=N#N)n1,4,2,10,3,0,2,0,3,4,10,0
313,,Nc1c(N(=O)=O)n[nH]c1N(=O)=O,3,3,5,4,0,3,0,0,3,5,4
314,,N#N=c1c(N(=O)=O)nnc1N(=O)=O,3,0,6,4,0,0,0,0,3,6,4
315,LLM-226,N#N=c2c(n1nc(N(=O)=O)c(N)c1N(=O)=O)nnc2n3nc(N(=O)=O)c(N)c3N(=O)=O,9,4,14,8,0,4,2,0,9,12,8
316,Baran,O=N(=O)OC[C@@H]1[C@@H](CON(=O)=O)[C@@H](CON(=O)=O)[C@@H]1CON(=O)=O,8,12,4,12,8,12,0,4,0,4,8
317,Baran 3,O=N(=O)OC[C@@H]1[C@@H](CON(=O)=O)[C@H](CON(=O)=O)[C@H]1CON(=O)=O,8,12,4,12,8,12,0,4,0,4,8
318,Baran 4,O=N(=O)OC[C@@H]1[C@H](CON(=O)=O)[C@@H](CON(=O)=O)[C@@H]1CON(=O)=O,8,12,4,12,8,12,0,4,0,4,8
319,Baran 5,O=N(=O)OC[C@@H]1[C@H](CON(=O)=O)[C@H](CON(=O)=O)[C@@H]1CON(=O)=O,8,12,4,12,8,12,0,4,0,4,8
320,Baran 6,O=N(=O)OCC1(CON(=O)=O)CCC1(CON(=O)=O)CON(=O)=O,8,12,4,12,8,12,0,4,0,4,8
321,Baran 7,O=N(=O)OCC1(CON(=O)=O)CC(CON(=O)=O)(CON(=O)=O)C1,8,12,4,12,8,12,0,4,0,4,8
322,Sabatini,CCOC(=O)c1cc(CON(=O)=O)on1,7,8,2,6,3,8,0,3,4,2,3
323,Sabatini,O=N(=O)OCc1cc(CON(=O)=O)on1,5,5,3,7,2,5,0,3,3,3,4
324,Sabatini,O=N(=O)OCc2onc(c1noc(CON(=O)=O)c1CON(=O)=O)c2CON(=O)=O,10,8,6,14,4,8,0,6,6,6,8
325,Sabatini,O=N(=O)OCc2cc(c1cc(CON(=O)=O)on1)no2,8,6,4,8,2,6,0,4,6,4,4
326,Sabatini,O=N(=O)OCc3cc(c1non(=O)c1c2cc(CON(=O)=O)on2)no3,10,6,6,10,2,6,0,5,8,6,5
327,Sabatini,O=N(=O)OCc2nc(c1noc(CON(=O)=O)n1)no2,6,4,6,8,2,4,0,4,4,6,4
328,Sabatini,Nc1nonc1C(=O)O,3,3,3,3,0,3,1,2,3,2,1
329,Sabatini,CCOC(=O)c1nonc1N,5,7,3,3,2,7,1,2,3,2,1
330,,Nc2n[nH]c(c1[nH]nc(N)c1N(=O)=O)c2N(=O)=O,6,6,8,4,0,6,2,0,6,6,4
331,,Nc4nnc3c(N(=O)=O)c(c2nn1c(N)c(N(=O)=O)nnc1c2N(=O)=O)nn3c4N(=O)=O,10,4,14,8,0,4,2,0,10,12,8
332,TTX,Nc1c(N(=O)=O)nnc2nc(N(=O)=O)nn12,4,2,8,4,0,2,1,0,4,7,4
333,,Nc1nnnn1Cc2nnn[nH]2,3,5,9,0,1,5,2,0,2,7,0
334,,O=N(=O)N=c1[nH]nnn1Cc2nnn[nH]2,3,4,10,2,1,4,2,0,2,8,2
335,,Nc2nn1c(N)c(N(=O)=O)nnc1c2N(=O)=O,5,4,8,4,0,4,2,0,5,6,4
336,,Nc1nnnn1CCn2ccc(N(=O)=O)n2,6,8,8,2,2,8,2,0,4,6,2
337,,Nc1nnnn1CCn2cc(N(=O)=O)c(N(=O)=O)n2,6,7,9,4,2,7,2,0,4,7,4
338,,Nc1nnnn1CCn2nc(N(=O)=O)c(N(=O)=O)c2N,6,8,10,4,2,8,4,0,4,6,4
339,,O=N(=O)N=c1[nH]nnn1CCn2cc(N(=O)=O)c(N(=O)=O)n2,6,6,10,6,2,6,2,0,4,8,6
340,,N#N=Nc2c(N(=O)=O)nn(CCn1nnnc1N)c2N(=O)=O,6,6,12,4,2,6,2,0,4,10,4
341,,N#N=Nc2nn(CCn1nnnc1N)c(N=N#N)c2N(=O)=O,6,6,14,2,2,6,2,0,4,12,2
342,,Nc1nnnn1CCn2cnc(N(=O)=O)n2,5,7,9,2,2,7,2,0,3,7,2
343,,Nc1nnnn1CCn2nc(N(=O)=O)nc2N,5,8,10,2,2,8,4,0,3,6,2
344,,Nc1nnnn1CCn2nnc(N(=O)=O)n2,4,6,10,2,2,6,2,0,2,8,2
345,,O=N(=O)N=c1[nH]nnn1CCn2cnc(N(=O)=O)n2,5,6,10,4,2,6,2,0,3,8,4
346,,O=N(=O)N=c1[nH]nnn1CCn2nc(N(=O)=O)nc2NN(=O)=O,5,6,12,6,2,6,3,0,3,9,6
347,,Nc1nc(N(=O)=O)nn1CCn2nc(N(=O)=O)nc2N,6,8,10,4,2,8,4,0,4,6,4
348,,O=N(=O)Nc1nc(N(=O)=O)nn1CCn2nc(N(=O)=O)nc2NN(=O)=O,6,6,12,8,2,6,3,0,4,9,8
349,,Nc1non(=O)c1c2non(=O)c2c3c(N)non3=O,6,4,8,6,0,4,2,3,6,6,3
350,,O=n4onc3nnc1non(=O)c1c2c(non2=O)c34,6,0,8,6,0,0,0,3,6,8,3
351,,O=N(=O)c1non(=O)c1c2non(=O)c2c3c(N(=O)=O)non3=O,6,0,8,10,0,0,0,3,6,8,7
352,,C/N=N(=O)/c1nonc1N(CN(c2nonc2/N(=O)=N/C)N(=O)=O)N(=O)=O,7,8,12,8,3,8,2,2,4,10,6
353,,C/N=N(=O)/c1nonc1NN(=O)=O,3,4,6,4,1,4,1,1,2,5,3
354,,O=N(=O)N(CN(c1nonc1c2ncon2)N(=O)=O)c3nonc3c4ncon4,9,4,12,8,1,4,2,2,8,10,6
355,,N=C(NN)c1nonc1N(CN(c2nonc2C(=N)NN)N(=O)=O)N(=O)=O,7,10,14,6,1,10,6,2,6,8,4
356,,O=N(=O)N(CCN(c1nonc1c2ncon2)N(=O)=O)c3nonc3c4ncon4,10,6,12,8,2,6,2,2,8,10,6
357,,N=C(NN)c1nonc1N(CCN(c2nonc2C(=N)NN)N(=O)=O)N(=O)=O,8,12,14,6,2,12,6,2,6,8,4
358,3·H2O,Nc1nnnn1c2nc(N(=O)=O)n[nH]2,3,3,9,2,0,3,2,0,3,7,2
359,4·H2O,O=N(=O)c2n[nH]c(n1ncc(N(=O)=O)c1N(=O)=O)n2,5,2,8,6,0,2,1,0,5,7,6
360,,O=N(=O)c2ncn(c1nc(N(=O)=O)n[nH]1)n2,4,2,8,4,0,2,1,0,4,7,4
361,6·H2O,Nc1nc(N(=O)=O)nn1c2nc(N(=O)=O)n[nH]2,4,3,9,4,0,3,2,0,4,7,4
362,,Nn1nc(N(=O)=O)nc1n2cnc(N(=O)=O)n2,4,3,9,4,0,3,2,0,4,7,4
363,,Nn2nc(n1cnc(N(=O)=O)n1)nc2N(=O)=O,4,3,9,4,0,3,2,0,4,7,4
364,,N#[N+]c2[n-]c(c1nc(N(=O)=O)c([N+]#N)[n-]1)nc2N(=O)=O,6,0,10,4,0,0,0,0,6,10,4
365,,N#[N+]c2[n-]nc(c1n[n-]c([N+]#N)c1N(=O)=O)c2N(=O)=O,6,0,10,4,0,0,0,0,6,10,4
366,,O=N(=O)N=c1[nH]ccn1CCn2cc(N(=O)=O)cn2,8,9,7,4,2,9,2,0,6,5,4
367,,O/N=N/c1nnnn1CCn2cccn2,6,8,8,1,2,8,1,1,4,7,0
368,,Nc1nnnn1CCn2nc(N(=O)=O)c(N)c2N(=O)=O,6,8,10,4,2,8,2,0,4,8,4
369,,Nc1nnnn1CCn2nc(N(=O)=O)c(N(=O)=O)c2N(=O)=O,6,6,10,6,2,6,2,0,4,8,6
370,,CCCCn1nc(N(=O)=O)c(N)c1N(=O)=O.Nc1nnn[nH]1,8,14,10,4,4,14,1,0,4,9,4
371,,CCCCn1nc(N(=O)=O)c(N(=O)=O)c1N(=O)=O.Nc1nnn[nH]1,8,12,10,6,4,12,2,0,4,8,6
372,,O=N(=O)C(c2ncn(Cn1cnc(C(N(=O)=O)N(=O)=O)n1)n2)N(=O)=O,7,6,10,8,3,6,0,0,4,10,8
373,,O=N(=O)C(c2ncn(Cn1cnc(C(N(=O)=O)(N(=O)=O)N(=O)=O)n1)n2)(N(=O)=O)N(=O)=O,7,4,12,12,3,4,0,0,4,12,12
374,,O=N(=O)C(c1ncn(C(N(=O)=O)(N(=O)=O)N(=O)=O)n1)(N(=O)=O)N(=O)=O,4,1,9,12,2,1,1,0,2,8,12
375,,O/N=C(c1nnn[nH]1)/c2nnn[nH]2,3,3,9,1,0,3,0,1,3,9,0
376,,N/N=C(c1nnn[nH]1)/c2nnn[nH]2,3,4,10,0,0,4,1,0,3,9,0
377,,O=n4onc3c1nc[nH]c1c2non(=O)c2c34,7,2,6,4,0,2,1,2,7,5,2
378,,O=N(=O)n4cnc3c1non(=O)c1c2c(non2=O)c34,7,1,7,6,0,1,1,2,7,6,4
379,,O=c2[nH]c1c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c(N(=O)=O)c1[nH]2,7,2,6,9,0,2,2,0,7,4,9
380,,Nc1[nH]c(N(=O)=O)nc1N(=O)=O,3,3,5,4,0,3,1,0,3,4,4
